word1,word2,word3,word4 (target),contributor,stand,topic,pred_w2v,targetrank_w2v,pred_twit200,targetrank_twit200,pred_fasttextwiki,targetrank_fasttextwiki,interesting
immigration,culture,nutrition,body,Elim,left,human,nutritional,794,,,,,
immigrant,nation,workers,factory,Elim,left,society,employees,5030,,,,,
immigration,inequality,prescription,disease,Elim,left,human,inequalities,1254,,,,,
governance,immigration,compass,traveler,Elim,left,human,Immigration,185,,,,,
citizen,immigrant,soil,wind,Elim,neutral,nature,immigrants,5596,,,,,
migration,policy,traffic,control,Elim,neutral,society,policies,5523,,,,,
policy,immigration,law,crime,Elim,right,society,Immigration,88,,,,,
immigration,security,invasion,defense,Elim,right,society,invading,6628,,,,,
immigration,society,pollutions,river,Elim,right,nature,societies,2180,,,,,
immigration,equality,pressures,bridge,Elim,right,nature,constraints,14509,,,,,
ICE,border,enforcement,control,Michi,right,,borders,574,,,,,
ICE,border,enforcement,oppression,Michi,left,,borders,11864,,,,,
immigrant,nation,contribution,burden,Michi,right,,contributions,957,,,,,
immigrant,nation,contribution,growth,Michi,left,,contributions,1093,,,,,
refugee,crisis,policy,restriction,Michi,right,,crises,256,,,,,
refugee,crisis,policy,protection,Michi,left,,crises,17476,,,,,
citizenship,belonging,test,exclusion,Michi,right,,tests,26761,,,,,
citizenship,belonging,test,inclusion,Michi,left,,tests,22055,,,,,
border,security,wall,safety,Michi,right,,walls,67,,,,,
border,security,wall,division,Michi,left,,walls,24751,,,,,
ICE,undocumented,mission,law,Michi,right,,missions,2944,,,,,
ICE,undocumented,mission,fear,Michi,left,,missions,6379,,,,,
immigration,economy,labor,competition,Michi,right,,economies,826,,,,,
immigration,economy,labor,innovation,Michi,left,,economies,324,,,,,
asylum,law,approval,loophole,Michi,right,,approved,368,,,,,
asylum,law,approval,justice,Michi,left,,approved,10973,,,,,
deportation,policy,purpose,order,Michi,right,,purposes,27067,,,,,
deportation,policy,purpose,cruelty,Michi,left,,purposes,46712,,,,,
undocumented,worker,identity,fraud,Michi,right,,employee,2956,,,,,
undocumented,worker,identity,exploitation,Michi,left,,employee,17693,,,,,
sanctuary,immigrant,protection,lawlessness,Michi,right,,immigrants,5237,,,,,
sanctuary,immigrant,protection,compassion,Michi,left,,immigrants,27349,,,,,
